Filename,Clade2,Clade,Genus,Species,Taxon,Tip_label,Habitat,Diet,Diet2,extinct?,Reconstructed,premax_vent,max_vent,max_d,premax_d,nasal,frontal,parietal,supraocc,occ_condyle,basiocc,pterygoid,palatine,jawjoint,jugal,squamosal,lacrimal,ectopt,ptery_flange,sphenoid,postorb
Alligator_mississippiensis_AMNH_R_40582_craniumMIRRORED,Alligatorinae ,Alligatoroidea ,Alligator,mississippiensis,Alligator_mississippiensis,Alligator_mississippiensis,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alligator_sinensis_AMNH_R_23900_cranium,Alligatorinae ,Alligatoroidea ,Alligator,sinensis,Alligator_sinensis,Alligator_sinensis,semi-aquatic/freshwater,Durophagus?,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Anatoschus_Merged_Mirrored,Notosuchia,Notosuchia,Anatosuchus,minor,Anatosuchus_minor,Anatosuchus_minor,terrestrial,Carnivore,Omnivore/Herbivore,yes,0.8,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1
Araripesuchus gomesii AMNH24450 skull 11022016,Uruguaysuchidae,Notosuchia,Araripesuchus,gomesii,Araripesuchus_gomesii,Araripesuchus_gomesii,terrestrial,Insectivore/omnivore,Omnivore/Herbivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Araripesuchus_Skull_repaired,Uruguaysuchidae,Notosuchia,Araripesuchus,wegeneri,Araripesuchus_wegeneri,Araripesuchus_wegeneri,terrestrial,Insectivore/omnivore,Omnivore/Herbivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caiman_crocodilus_fuscus_MCZ_5031_cranium,Caimaninae,Alligatoroidea ,Caiman,crocodilus,Caiman_crocodilus,Caiman_crocodilus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caiman_latirostris cranium2_NHMUK_2009.1,Caimaninae,Alligatoroidea ,Caiman,latirostris,Caiman_latirostris,Caiman_latirostris,semi-aquatic/freshwater,Durophagus?,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caiman_yacare_AMNH_97299_cranium,Caimaninae,Alligatoroidea ,Caiman,yacare,Caiman_yacare,Caiman_yacare,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Caipirasuchus-stenognathus_resampled_MZSP-PV-139_skull only_repaired_unwarpedc,Sphagesauridae,Notosuchia,Caipirasuchus,stenognathus,Caipirasuchus_stenognathus,Caipirasuchus_stenognathus,terrestrial,Insectivore/omnivore,Omnivore/Herbivore,yes,0.8,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0
Geosaurus(Cricosaurus)_araucanensis_MLP_72_IV_7_1,Thalattosuchia,Thalattosuchia,Cricosaurus,araucanensis,Cricosaurus_araucanensis,Cricosaurus,aquatic/marine,Piscivore,Piscivore,yes,0.8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
Crocodilus_acutus_cranium_MNHN_A_5310,Crocodylinae,Crocodylidae,Crocodylus,acutus,Crocodylus_acutus,Crocodylus_acutus1,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_acutus_AMNH_7857_cranium,Crocodylinae,Crocodylidae,Crocodylus,acutus,Crocodylus_acutus,Crocodylus_acutus2,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_affinus_UWBM_88113,Crocodylinae,Crocodylidae,Crocodylus,affinus,Crocodylus_affinus,Crocodylus_affinus,semi-aquatic/freshwater,Carnivore,Carnivore,yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodilus_intermedius_cranium_MNHN_1885_489,Crocodylinae,Crocodylidae,Crocodylus,intermedius,Crocodylus_intermedius,Crocodylus_intermedius,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_johnstoni_TMM_M-6807,Crocodylinae,Crocodylidae,Crocodylus,johnstoni,Crocodylus_johnstoni,Crocodylus_johnstoni,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_mindorensis_FMNH-11136-7_Cranium2,Crocodylinae,Crocodylidae,Crocodylus,mindorensis,Crocodylus_mindorensis,Crocodylus_mindorensis,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_moreletti_MNHN_saisie_douane_21012,Crocodylinae,Crocodylidae,Crocodylus,moreletti,Crocodylus_moreletti,Crocodylus_moreletii,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_niloticus usnm 64011,Crocodylinae,Crocodylidae,Crocodylus,niloticus,Crocodylus_niloticus,Crocodylus_niloticus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_novaeguineae_AMNH_64425_cranium,Crocodylinae,Crocodylidae,Crocodylus,novaeguineae,Crocodylus_novaeguineae,Crocodylus_novaeguineae,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodilus_platarostris_cranium_MNHN_1941_210,Crocodylinae,Crocodylidae,Crocodylus,platarostris,Crocodylus_platarostris,Crocodylus_palustris,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_porosus usnm 210131 MIRRORED,Crocodylinae,Crocodylidae,Crocodylus,porosus,Crocodylus_porosus,Crocodylus_porosus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodilus_biporcatus_cranium_MNHN_A_5316,Crocodylinae,Crocodylidae,Crocodylus,biporcatus,Crocodylus_biporcatus,Crocodylus_raninus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Crocodylus_raninus_AMNH_29294_craniumMIRRORED,Crocodylinae,Crocodylidae,Crocodylus,raninus,Crocodylus_raninus,Crocodylus_raninus,semi-aquatic/freshwater,Carnivore,Carnivore,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
